,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,42286,citrus,0,stimuli/citrus/3.png,stimuli/citrus/4.png,k,0.0,2.9482343999998193,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,1,stimuli/citrus/6.png,stimuli/citrus/3.png,k,0.0,2.774025199999869,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,2,stimuli/citrus/3.png,stimuli/citrus/5.png,d,0.0,2.4668691000001672,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,3,stimuli/citrus/5.png,stimuli/citrus/6.png,d,0.0,2.7877971000002617,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,4,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,timeout,0.0,4.0,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,5,stimuli/citrus/5.png,stimuli/citrus/1.png,d,0.0,0.3343755000000783,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,6,stimuli/citrus/4.png,stimuli/citrus/1.png,d,0.0,0.9587077000001045,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,7,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,k,0.0,0.8143334000001232,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,8,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,k,0.0,0.8266402999997808,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,9,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,k,0.0,0.9089765000003354,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,10,stimuli/citrus/4.png,stimuli/citrus/5.png,d,0.0,0.953085099999953,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,11,stimuli/citrus/4.png,stimuli/citrus/4.png,q,0.0,1.8111343000000488,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,12,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,0.0,1.7985528000003796,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,13,stimuli/citrus/6.png,stimuli/citrus/1.png,k,0.0,1.4055702999999085,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,14,stimuli/citrus/3.png,stimuli/citrus/1.png,k,0.0,0.784273199999916,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,citrus,15,stimuli/citrus/4.png,stimuli/citrus/6.png,d,0.0,0.8609771999999793,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,0,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,k,0.0,1.049276099999588,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,1,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,d,0.0,0.9721638999999413,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,0.0,0.9307661999996526,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,3,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,0.0,0.8722984999999426,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,4,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,0.0,0.9642398000000867,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,5,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,k,0.0,0.9003235999998651,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,6,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,d,0.0,0.8147832999998172,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,7,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,0.0,0.9939487999999983,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,8,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,k,0.0,1.0322500000002037,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,9,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,0.0,1.5086089999999786,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,10,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,0.0,0.8763954000000922,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,11,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,k,0.0,2.153939199999968,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,12,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,0.0,0.999984200000199,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,13,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,k,0.0,1.83987180000031,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,14,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.0,0.992555899999843,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,15,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,0.0,1.1098528000002261,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,16,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,0.0,1.590680600000269,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,17,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,timeout,0.0,4.0,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,18,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,0.0,2.128641399999651,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,19,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,d,0.0,0.9827758999999787,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,20,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,0.0,1.5138562999995884,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,21,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.0,1.2589837999998963,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,22,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,0.0,1.0339199999998527,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,23,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,0.0,1.0147013000000698,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,24,stimuli/dogs/dog8.png,stimuli/dogs/dog8.png,q,0.0,2.0583864999998696,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,25,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,k,0.0,3.3197171000001617,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,26,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,k,0.0,1.4950639999997293,20,male,5,3,2,2,5,2,5,6,2,6
0,42286,dog1,27,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,0.0,0.9049363999997695,20,male,5,3,2,2,5,2,5,6,2,6
