,id,condition,block,trial,stimA,stimB,choice,rt
0,44650,2,citrus,0,stimuli/citrus/3.png,stimuli/citrus/1.png,k,0.6518888000000516
0,44650,2,citrus,1,stimuli/citrus/5.png,stimuli/citrus/3.png,k,1.9951038000001518
0,44650,2,citrus,2,stimuli/citrus/6.png,stimuli/citrus/5.png,d,1.5345531999998911
0,44650,2,citrus,3,stimuli/citrus/5.png,stimuli/citrus/1.png,k,1.5252532000001793
0,44650,2,citrus,4,stimuli/citrus/6.png,stimuli/citrus/3.png,k,1.8905076000000918
0,44650,2,citrus,5,stimuli/citrus/6.png,stimuli/citrus/4.png,k,1.3836670000000595
0,44650,2,citrus,6,stimuli/citrus/4.png,stimuli/citrus/ref_image.jpg,timeout,4
0,44650,2,citrus,7,stimuli/citrus/4.png,stimuli/citrus/1.png,d,1.8131433999999444
0,44650,2,citrus,8,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,1.520754499999839
0,44650,2,citrus,9,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,1.2762210999999297
0,44650,2,citrus,10,stimuli/citrus/5.png,stimuli/citrus/4.png,k,0.865836500000114
0,44650,2,citrus,11,stimuli/citrus/4.png,stimuli/citrus/3.png,k,0.9358651999998528
0,44650,2,citrus,12,stimuli/citrus/1.png,stimuli/citrus/6.png,d,1.5200294000001122
0,44650,2,citrus,13,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,k,1.0258183000000827
0,44650,2,citrus,14,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,d,1.089216800000031
0,44650,2,citrus,15,stimuli/citrus/ref_image.jpg,stimuli/citrus/ref_image.jpg,q,1.3273791000001438
0,44650,2,dog1,0,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,2.0846945000000687
0,44650,2,dog1,1,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,timeout,4
0,44650,2,dog1,2,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,d,2.730203000000074
0,44650,2,dog1,3,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,1.5592805000001135
0,44650,2,dog1,4,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,2.4179026000001613
0,44650,2,dog1,5,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,1.475652799999807
0,44650,2,dog1,6,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,1.4289800000001378
0,44650,2,dog1,7,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,k,3.954948800000011
0,44650,2,dog1,8,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,d,2.316516399999955
0,44650,2,dog1,9,stimuli/dogs/dog5.png,stimuli/dogs/dog5.png,q,1.140686599999981
0,44650,2,dog1,10,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,k,3.486803099999861
0,44650,2,dog1,11,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,1.8859101999998984
0,44650,2,dog1,12,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,2.205904900000178
