,Unnamed: 0.1,Unnamed: 0,id,condition,block,trial,stimA,stimB,choice,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
135,135,0.0,,0,dog1,6,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,1.233124000000089,19,female,1,2,1,1,7,1,6,3,3,6
136,136,0.0,,1,dog2,21,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,k,1.3037409000000935,19,female,1,2,1,1,7,1,6,3,3,6
137,137,0.0,,0,dog1,7,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,k,1.0690047999999024,19,female,1,2,1,1,7,1,6,3,3,6
138,138,0.0,,1,dog2,22,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,d,0.89422750000017,19,female,1,2,1,1,7,1,6,3,3,6
139,139,0.0,,0,dog1,8,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,0.9492839000001823,19,female,1,2,1,1,7,1,6,3,3,6
140,140,0.0,,1,dog2,23,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,k,0.801664700000174,19,female,1,2,1,1,7,1,6,3,3,6
141,141,0.0,,1,dog2,24,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,d,0.7981362999998964,19,female,1,2,1,1,7,1,6,3,3,6
142,142,0.0,,0,dog1,9,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,k,1.9714318999999705,19,female,1,2,1,1,7,1,6,3,3,6
143,143,0.0,,1,dog2,25,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,k,0.6117229999999836,19,female,1,2,1,1,7,1,6,3,3,6
144,144,0.0,,0,dog1,10,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,k,1.491988400000082,19,female,1,2,1,1,7,1,6,3,3,6
145,145,0.0,,1,dog2,26,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,1.5000844999999572,19,female,1,2,1,1,7,1,6,3,3,6
146,146,0.0,,0,dog1,11,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.829786199999944,19,female,1,2,1,1,7,1,6,3,3,6
147,147,0.0,,1,dog2,27,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,k,1.5389789000000746,19,female,1,2,1,1,7,1,6,3,3,6
148,148,0.0,,1,dog2,28,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,k,0.5982641000000513,19,female,1,2,1,1,7,1,6,3,3,6
149,149,0.0,,0,dog1,12,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,1.2957299999998213,19,female,1,2,1,1,7,1,6,3,3,6
150,150,0.0,,0,dog1,13,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,d,2.253262599999971,19,female,1,2,1,1,7,1,6,3,3,6
151,151,0.0,,0,dog1,14,stimuli/dogs/dog6.png,stimuli/dogs/dog6.png,timeout,4,19,female,1,2,1,1,7,1,6,3,3,6
152,152,0.0,,0,dog1,15,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,timeout,4,19,female,1,2,1,1,7,1,6,3,3,6
153,153,0.0,,0,dog1,16,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,0.9141422000000148,19,female,1,2,1,1,7,1,6,3,3,6
154,154,0.0,,0,dog1,17,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,1.519917200000009,19,female,1,2,1,1,7,1,6,3,3,6
155,155,0.0,,0,dog1,18,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,0.8674516999999469,19,female,1,2,1,1,7,1,6,3,3,6
156,156,0.0,,0,dog1,19,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,0.9868426000000454,19,female,1,2,1,1,7,1,6,3,3,6
157,157,0.0,,1,dog3,0,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,1.1724881000000096,19,female,1,2,1,1,7,1,6,3,3,6
158,158,0.0,,0,dog1,20,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,1.0638189999999668,19,female,1,2,1,1,7,1,6,3,3,6
159,159,0.0,,0,dog1,21,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.8503141000001051,19,female,1,2,1,1,7,1,6,3,3,6
160,160,0.0,,1,dog3,1,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,k,1.8775700000001052,19,female,1,2,1,1,7,1,6,3,3,6
161,161,0.0,,1,dog3,2,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,d,0.8305963000000247,19,female,1,2,1,1,7,1,6,3,3,6
162,162,0.0,,0,dog1,22,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,1.1590764999998555,19,female,1,2,1,1,7,1,6,3,3,6
