,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,45193,citrus,0,stimuli/citrus/6.png,stimuli/citrus/4.png,k,1.0,3.2756750999997166,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,1,stimuli/citrus/3.png,stimuli/citrus/5.png,k,1.0,3.6642696999997497,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,2,stimuli/citrus/1.png,stimuli/citrus/6.png,d,1.0,2.9820472999999765,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,3,stimuli/citrus/5.png,stimuli/citrus/5.png,q,1.0,2.0928079999994225,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,4,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,d,1.0,2.8313396000003195,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,5,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,k,1.0,1.2559830000000147,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,6,stimuli/citrus/1.png,stimuli/citrus/5.png,d,1.0,1.7854063000004317,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,7,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,1.0,1.3991424000005281,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,8,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,d,1.0,1.382935599999655,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,9,stimuli/citrus/4.png,stimuli/citrus/3.png,d,1.0,2.0507359000002907,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,10,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,k,1.0,1.8474089000001186,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,11,stimuli/citrus/4.png,stimuli/citrus/5.png,d,1.0,1.5203065000005154,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,12,stimuli/citrus/4.png,stimuli/citrus/1.png,d,1.0,1.8566885000000184,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,13,stimuli/citrus/3.png,stimuli/citrus/6.png,d,1.0,2.516347699999642,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,14,stimuli/citrus/1.png,stimuli/citrus/3.png,k,1.0,1.8262381000004098,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,citrus,15,stimuli/citrus/5.png,stimuli/citrus/6.png,timeout,1.0,4.0,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,dog1,0,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,timeout,1.0,4.0,20 ,male,7,5,1,3,5,2,5,6,3,5
0,45193,dog1,1,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,1.0,1.8827126000005592,20 ,male,7,5,1,3,5,2,5,6,3,5
