,id,condition,block,trial,stimA,stimB,choice,rt
0,42919,1,citrus,0,stimuli/citrus/6.png,stimuli/citrus/3.png,timeout,4
0,42919,1,citrus,1,stimuli/citrus/5.png,stimuli/citrus/4.png,k,3.3246060999999827
0,42919,1,citrus,2,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,d,2.7759743999999955
0,42919,1,citrus,3,stimuli/citrus/5.png,stimuli/citrus/6.png,k,2.006470399999671
0,42919,1,citrus,4,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,1.9041286000001492
0,42919,1,citrus,5,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,k,1.3669378000004144
0,42919,1,citrus,6,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,k,3.797623299999941
0,42919,1,citrus,7,stimuli/citrus/6.png,stimuli/citrus/4.png,k,1.7325541999998677
0,42919,1,citrus,8,stimuli/citrus/1.png,stimuli/citrus/4.png,k,1.290534899999784
0,42919,1,citrus,9,stimuli/citrus/6.png,stimuli/citrus/1.png,d,2.1361917999997786
0,42919,1,citrus,10,stimuli/citrus/1.png,stimuli/citrus/3.png,k,1.0176904999998442
0,42919,1,citrus,11,stimuli/citrus/3.png,stimuli/citrus/5.png,d,2.00273019999986
0,42919,1,citrus,12,stimuli/citrus/5.png,stimuli/citrus/1.png,d,1.6380307000003995
0,42919,1,citrus,13,stimuli/citrus/ref_image.jpg,stimuli/citrus/ref_image.jpg,q,2.2399531000000934
0,42919,1,citrus,14,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,k,2.7723157999998875
0,42919,1,citrus,15,stimuli/citrus/4.png,stimuli/citrus/3.png,d,2.7567966000001434
0,42919,1,dog1,0,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,d,3.346548200000143
0,42919,1,dog1,1,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,d,2.510202599999957
0,42919,1,dog1,2,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,3.160039300000335
0,42919,1,dog1,3,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,d,1.4483368000001065
0,42919,1,dog1,4,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,2.2423361999999543
0,42919,1,dog1,5,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,1.6220428999999967
0,42919,1,dog1,6,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,timeout,4
0,42919,1,dog1,7,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,timeout,4
0,42919,1,dog1,8,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,1.2039792999999008
0,42919,1,dog1,9,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,2.617044199999782
0,42919,1,dog1,10,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,d,2.0632620000001225
0,42919,1,dog1,11,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,0.8390001999996457
0,42919,1,dog1,12,stimuli/dogs/dog6.png,stimuli/dogs/dog6.png,q,1.5007040999998935
0,42919,1,dog1,13,stimuli/dogs/dog6.png,stimuli/dogs/dog4.png,d,2.596892300000036
0,42919,1,dog1,14,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,k,1.0383022999999412
0,42919,1,dog1,15,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,d,1.1967773999999736
0,42919,1,dog1,16,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,d,1.065371000000141
0,42919,1,dog1,17,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,1.0403228000000126
0,42919,1,dog1,18,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,k,1.0460397000001649
0,42919,1,dog1,19,stimuli/dogs/dog1.png,stimuli/dogs/dog7.png,k,0.8396297999997842
0,42919,1,dog1,20,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,3.3910062999998445
0,42919,1,dog1,21,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.9805341999999655
0,42919,1,dog1,22,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,0.9628159999997479
0,42919,1,dog1,23,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,timeout,4
0,42919,1,dog1,24,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,1.0371829000000616
0,42919,1,dog1,25,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,timeout,4
0,42919,1,dog1,26,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,1.1226305999998658
0,42919,1,dog1,27,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,d,1.6920721999999842
0,42919,1,dog1,28,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,k,0.9103170000003047
0,42919,1,dog2,0,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,3.2803460999998606
0,42919,1,dog2,1,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,k,1.1378399000000172
0,42919,1,dog2,2,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,k,0.7677615999996306
0,42919,1,dog2,3,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,k,2.067508799999814
0,42919,1,dog2,4,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,k,0.7296987000004265
0,42919,1,dog2,5,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,d,1.4031801999999516
0,42919,1,dog2,6,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,2.7347891999997955
0,42919,1,dog2,7,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,k,0.8635896999999204
0,42919,1,dog2,8,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,k,1.5318546000003153
0,42919,1,dog2,9,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,2.4653911999998854
0,42919,1,dog2,10,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,d,0.8198454000003039
0,42919,1,dog2,11,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,k,0.6415554000000157
0,42919,1,dog2,12,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,d,2.9149790000001303
0,42919,1,dog2,13,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,k,0.8126787999999578
0,42919,1,dog2,14,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,k,0.5982258999997612
0,42919,1,dog2,15,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,k,2.8231783000001087
0,42919,1,dog2,16,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,k,0.9912929000001895
0,42919,1,dog2,17,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,k,0.9607620000001589
0,42919,1,dog2,18,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,1.5609384999997928
0,42919,1,dog2,19,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,d,1.151547599999958
0,42919,1,dog2,20,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,d,0.672801900000195
0,42919,1,dog2,21,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,d,2.820485700000063
0,42919,1,dog2,22,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,d,0.7637085999999726
0,42919,1,dog2,23,stimuli/dogs/dog7.png,stimuli/dogs/dog7.png,timeout,4
0,42919,1,dog2,24,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,timeout,4
0,42919,1,dog2,25,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,d,1.5256215999997949
0,42919,1,dog2,26,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,d,1.5799001000000317
0,42919,1,dog2,27,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,k,0.7248241000002054
0,42919,1,dog2,28,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,d,1.0072202000001198
