,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,44125,citrus,0,stimuli/citrus/5.png,stimuli/citrus/3.png,timeout,2.0,4.0,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,1,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,d,2.0,1.5057333000004292,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,2,stimuli/citrus/4.png,stimuli/citrus/1.png,d,2.0,1.128963200000726,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,3,stimuli/citrus/4.png,stimuli/citrus/5.png,k,2.0,1.4466707000001406,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,4,stimuli/citrus/5.png,stimuli/citrus/6.png,k,2.0,1.5088353999999526,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,5,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,d,2.0,2.0704102999998213,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,6,stimuli/citrus/6.png,stimuli/citrus/3.png,k,2.0,1.7452839000006861,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,7,stimuli/citrus/6.png,stimuli/citrus/1.png,d,2.0,1.6136834999997518,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,8,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,d,2.0,1.6748168000003716,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,9,stimuli/citrus/3.png,stimuli/citrus/1.png,d,2.0,1.6219498999998905,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,10,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,k,2.0,1.6009020000001328,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,11,stimuli/citrus/5.png,stimuli/citrus/5.png,q,2.0,2.504857999999331,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,12,stimuli/citrus/3.png,stimuli/citrus/4.png,d,2.0,1.966737099999591,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,13,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,k,2.0,0.8057404999999562,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,14,stimuli/citrus/6.png,stimuli/citrus/4.png,d,2.0,0.7735012000002826,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,citrus,15,stimuli/citrus/5.png,stimuli/citrus/1.png,d,2.0,0.637424600000486,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,0,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,2.0,2.2030784999997195,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,1,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,2.0,2.173897300000135,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,2,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,2.0,1.9778267000001506,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,3,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,2.0,2.0637933999996676,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,4,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,2.0,1.741367800000262,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,5,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,k,2.0,1.8665406999998595,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,6,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,k,2.0,1.6063962999996875,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,7,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,d,2.0,0.02754689999983384,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,8,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,d,2.0,3.460985800000344,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,9,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,2.0,2.4881438999991587,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,10,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,d,2.0,3.0522977000000537,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,11,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,d,2.0,2.282102300000588,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,12,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,d,2.0,1.8786865000001853,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,13,stimuli/dogs/dog6.png,stimuli/dogs/dog1.png,d,2.0,2.169738000000507,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,14,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,2.0,1.6589362000004257,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,15,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,2.0,2.2352672999995775,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,16,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,d,2.0,2.162289399999281,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,17,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,d,2.0,1.7758036000004722,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,18,stimuli/dogs/dog6.png,stimuli/dogs/dog6.png,q,2.0,1.087079800000538,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,19,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,d,2.0,1.062051299999439,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,20,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,d,2.0,1.9384466999999859,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,21,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,2.0,1.999755699999696,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,22,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,k,2.0,1.9668535000000702,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,23,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,k,2.0,1.7639931000003344,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,24,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,d,2.0,2.3136961000000156,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,25,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,d,2.0,1.900318199999674,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,26,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,2.0,2.3715627999999924,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,27,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,d,2.0,2.602443300000232,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog1,28,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,d,2.0,2.0973970000004556,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,0,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,2.0,3.4364064000001235,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,1,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,d,2.0,2.9020481999996264,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,2,stimuli/dogs/dog1.png,stimuli/dogs/dog7.png,d,2.0,1.6160088000005999,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,3,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,k,2.0,1.4951363999998648,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,4,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,timeout,2.0,4.0,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,5,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,k,2.0,3.8322498000006817,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,6,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,2.0,2.5864236999996137,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,7,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,k,2.0,1.3944382999998197,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,8,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,2.0,2.499780699999974,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,9,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,k,2.0,3.5122559000001274,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,10,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,2.0,2.1780948000005083,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,11,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,k,2.0,1.6042876999999862,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,12,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,k,2.0,1.2656285000002754,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,13,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,k,2.0,1.4486612000000605,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,14,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,2.0,3.3754334000004746,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,15,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,d,2.0,3.826939200000197,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,16,stimuli/dogs/dog4.png,stimuli/dogs/dog4.png,q,2.0,2.2694189999992886,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,17,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,2.0,2.3284537999998065,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,18,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,k,2.0,1.6897537000004377,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,19,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,d,2.0,2.084139200000209,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,20,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,d,2.0,1.5681011000006038,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,21,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,d,2.0,2.5351906999994753,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,22,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,d,2.0,1.4051189000001614,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,23,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,k,2.0,1.352316399999836,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,24,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,d,2.0,2.947458400000869,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,25,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,k,2.0,1.979604200000722,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,26,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,2.0,1.1624704000005295,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,27,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,2.0,1.2424238000003243,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog2,28,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,d,2.0,3.2537947000000713,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,0,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,2.0,2.284990399999515,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,1,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,k,2.0,1.944203699999889,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,2,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,2.0,0.895796299999347,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,3,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,d,2.0,0.8379421999998158,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,4,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,2.0,0.9882782000004227,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,5,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,2.0,3.134721200000058,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,6,stimuli/dogs/dog6.png,stimuli/dogs/dog4.png,d,2.0,2.1303775999995196,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,7,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,2.0,1.457293700000264,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,8,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,2.0,1.1606701999999132,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,9,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,k,2.0,1.3271397999997134,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,10,stimuli/dogs/dog6.png,stimuli/dogs/dog1.png,d,2.0,0.8794564999998329,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,11,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,k,2.0,1.4899365999999645,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,12,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,d,2.0,1.0192544999999882,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,13,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,2.0,0.7244330000003174,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,14,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,2.0,0.8498616000006223,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,15,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,2.0,0.8013003999994908,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,16,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,2.0,0.8298479999994015,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,17,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,d,2.0,0.4569287999993321,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,18,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,d,2.0,0.8482186999999612,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,19,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,2.0,0.9563837999994576,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,20,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,k,2.0,1.134936800000105,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,21,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,d,2.0,1.668932099999438,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,22,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,2.0,1.6422861000000921,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,23,stimuli/dogs/dog7.png,stimuli/dogs/dog7.png,q,2.0,1.9057671000000482,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,24,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,2.0,1.1020406000006915,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,25,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,2.0,1.1706282999994073,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,26,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,2.0,1.381780499999877,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,27,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,2.0,0.5759690999993836,21,male,3,2,2,2,6,2,2,6,2,6
0,44125,dog3,28,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,2.0,1.7942698999995628,21,male,3,2,2,2,6,2,2,6,2,6
