,id,condition,block,trial,stimA,stimB,choice,rt
0,42787,2,citrus,0,stimuli/citrus/4.png,stimuli/citrus/3.png,d,2.110487599999942
0,42787,2,citrus,1,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,2.0402645999993183
0,42787,2,citrus,2,stimuli/citrus/ref_image.jpg,stimuli/citrus/ref_image.jpg,timeout,4
0,42787,2,citrus,3,stimuli/citrus/1.png,stimuli/citrus/5.png,d,2.672056999999768
0,42787,2,citrus,4,stimuli/citrus/5.png,stimuli/citrus/4.png,k,1.7846219000002748
0,42787,2,citrus,5,stimuli/citrus/6.png,stimuli/citrus/1.png,d,1.514145500000268
0,42787,2,citrus,6,stimuli/citrus/5.png,stimuli/citrus/6.png,d,1.1984248000007938
0,42787,2,citrus,7,stimuli/citrus/6.png,stimuli/citrus/3.png,d,2.989494299999933
0,42787,2,citrus,8,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,d,1.1879859000000579
0,42787,2,citrus,9,stimuli/citrus/1.png,stimuli/citrus/4.png,k,1.0824747999995452
0,42787,2,citrus,10,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,d,1.2335608000003049
0,42787,2,citrus,11,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,1.2204539999993358
0,42787,2,citrus,12,stimuli/citrus/4.png,stimuli/citrus/ref_image.jpg,k,1.0851505000000543
0,42787,2,citrus,13,stimuli/citrus/3.png,stimuli/citrus/5.png,k,0.8946684999991703
0,42787,2,citrus,14,stimuli/citrus/3.png,stimuli/citrus/1.png,k,1.006510100000014
0,42787,2,citrus,15,stimuli/citrus/6.png,stimuli/citrus/4.png,k,1.520477199999732
0,42787,2,dog1,0,stimuli/dogs/dog1.png,stimuli/dogs/dog1.png,q,3.3986600000007456
0,42787,2,dog1,1,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,k,2.4758949000006396
0,42787,2,dog1,2,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,k,1.1271876999999222
0,42787,2,dog1,3,stimuli/dogs/dog6.png,stimuli/dogs/dog4.png,k,1.4893704999994952
0,42787,2,dog1,4,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,0.961318200000278
0,42787,2,dog1,5,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,0.7691020000002027
0,42787,2,dog1,6,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,timeout,4
0,42787,2,dog1,7,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,1.7035940000005212
0,42787,2,dog1,8,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,d,0.8587711999998646
0,42787,2,dog1,9,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,0.9686295000001337
0,42787,2,dog1,10,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,d,1.4794137999997474
0,42787,2,dog1,11,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,k,1.4620617000000493
0,42787,2,dog1,12,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,d,1.1805512999999337
0,42787,2,dog1,13,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,0.9173264999999446
0,42787,2,dog1,14,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,k,1.5686451000001398
0,42787,2,dog1,15,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,k,2.7974104000004445
0,42787,2,dog1,16,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,1.1446345999993355
0,42787,2,dog1,17,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.217450999999528
0,42787,2,dog1,18,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,1.155436500000178
0,42787,2,dog1,19,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.7849967000001925
0,42787,2,dog1,20,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,0.9252024000006713
0,42787,2,dog1,21,stimuli/dogs/dog6.png,stimuli/dogs/dog1.png,d,0.7579268999998021
0,42787,2,dog1,22,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,d,0.8357671000003393
0,42787,2,dog1,23,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,1.2331840000006196
0,42787,2,dog1,24,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,d,0.688264600000366
0,42787,2,dog1,25,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,k,0.7418029000000388
0,42787,2,dog1,26,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,d,0.6875984999996945
0,42787,2,dog1,27,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,k,0.8042853000006289
0,42787,2,dog1,28,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,d,1.2079904000001989
0,42787,2,dog2,0,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,d,1.52266630000031
0,42787,2,dog2,1,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,k,1.0728112999995574
0,42787,2,dog2,2,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,d,0.8893545999999333
0,42787,2,dog2,3,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,timeout,4
0,42787,2,dog2,4,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,k,1.0856339000001753
0,42787,2,dog2,5,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,2.1288405000004786
0,42787,2,dog2,6,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,k,1.8385859999998502
0,42787,2,dog2,7,stimuli/dogs/dog6.png,stimuli/dogs/dog1.png,k,0.524685800000043
0,42787,2,dog2,8,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,d,1.117515299999468
0,42787,2,dog2,9,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,k,0.7046854999998686
0,42787,2,dog2,10,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,0.756473499999629
0,42787,2,dog2,11,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,2.322008099999948
0,42787,2,dog2,12,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,k,0.7611953000005087
0,42787,2,dog2,13,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,d,1.2643580000003567
0,42787,2,dog2,14,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,k,0.9919909000000189
0,42787,2,dog2,15,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,d,0.553258800000549
0,42787,2,dog2,16,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,k,0.5187133999997968
0,42787,2,dog2,17,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,k,1.2589751999994405
0,42787,2,dog2,18,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,d,1.1761400999994294
0,42787,2,dog2,19,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,d,0.8881123000001026
0,42787,2,dog2,20,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,k,0.5594987000004039
0,42787,2,dog2,21,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,d,1.5913212999994357
0,42787,2,dog2,22,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,k,1.9164781999998013
0,42787,2,dog2,23,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,0.9024351999996725
0,42787,2,dog2,24,stimuli/dogs/dog4.png,stimuli/dogs/dog4.png,q,3.2124956999996357
0,42787,2,dog2,25,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,d,2.5179805000007036
0,42787,2,dog2,26,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,k,0.725196500000493
0,42787,2,dog2,27,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,k,1.3883982999996078
0,42787,2,dog2,28,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,k,0.5181345999999394
