,Unnamed: 0,id,condition,block,trial,stimA,stimB,choice,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
39,0,45568,2,dog1,23,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,d,1.0703989000001002,20,male,3,3,1,1,7,1,3,7,2,6
40,0,45568,2,dog1,24,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,d,2.936804600000187,20,male,3,3,1,1,7,1,3,7,2,6
41,0,45568,2,dog1,25,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,d,3.027152699999988,20,male,3,3,1,1,7,1,3,7,2,6
42,0,45568,2,dog1,26,stimuli/dogs/dog8.png,stimuli/dogs/dog8.png,timeout,4.0,20,male,3,3,1,1,7,1,3,7,2,6
43,0,45568,2,dog1,27,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,timeout,4.0,20,male,3,3,1,1,7,1,3,7,2,6
44,0,45568,2,dog1,28,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,timeout,4.0,20,male,3,3,1,1,7,1,3,7,2,6
45,0,45568,2,dog2,0,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,d,3.075438899999881,20,male,3,3,1,1,7,1,3,7,2,6
46,0,45568,2,dog2,1,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,1.528336500000023,20,male,3,3,1,1,7,1,3,7,2,6
47,0,45568,2,dog2,2,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,d,1.4896005999999034,20,male,3,3,1,1,7,1,3,7,2,6
48,0,45568,2,dog2,3,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,k,1.5231943999999658,20,male,3,3,1,1,7,1,3,7,2,6
49,0,45568,2,dog2,4,stimuli/dogs/dog8.png,stimuli/dogs/dog8.png,q,1.2279312000000573,20,male,3,3,1,1,7,1,3,7,2,6
50,0,45568,2,dog2,5,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,k,2.0068888000000698,20,male,3,3,1,1,7,1,3,7,2,6
51,0,45568,2,dog2,6,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,d,0.6915298000001258,20,male,3,3,1,1,7,1,3,7,2,6
52,0,45568,2,dog2,7,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,k,0.7850108000000091,20,male,3,3,1,1,7,1,3,7,2,6
53,0,45568,2,dog2,8,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,0.8597302000000582,20,male,3,3,1,1,7,1,3,7,2,6
54,0,45568,2,dog2,9,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,k,0.812805199999957,20,male,3,3,1,1,7,1,3,7,2,6
55,0,45568,2,dog2,10,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,d,0.7612781000000268,20,male,3,3,1,1,7,1,3,7,2,6
56,0,45568,2,dog2,11,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,0.7700024000000667,20,male,3,3,1,1,7,1,3,7,2,6
57,0,45568,2,dog2,12,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.6298046000001705,20,male,3,3,1,1,7,1,3,7,2,6
58,0,45568,2,dog2,13,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,k,1.5308178000000223,20,male,3,3,1,1,7,1,3,7,2,6
59,0,45568,2,dog2,14,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,d,0.5831419999999525,20,male,3,3,1,1,7,1,3,7,2,6
60,0,45568,2,dog2,15,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,d,0.8064232000001539,20,male,3,3,1,1,7,1,3,7,2,6
61,0,45568,2,dog2,16,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.6773860999999215,20,male,3,3,1,1,7,1,3,7,2,6
62,0,45568,2,dog2,17,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,k,0.7891983999998047,20,male,3,3,1,1,7,1,3,7,2,6
63,0,45568,2,dog2,18,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,1.0932653999998363,20,male,3,3,1,1,7,1,3,7,2,6
64,0,45568,2,dog2,19,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,d,0.7447344999998222,20,male,3,3,1,1,7,1,3,7,2,6
65,0,45568,2,dog2,20,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,k,0.7973587000001316,20,male,3,3,1,1,7,1,3,7,2,6
66,0,45568,2,dog2,21,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,k,0.8697445000000243,20,male,3,3,1,1,7,1,3,7,2,6
67,0,45568,2,dog2,22,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,k,1.1488622999997915,20,male,3,3,1,1,7,1,3,7,2,6
68,0,45568,2,dog2,23,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,k,0.8585467999998855,20,male,3,3,1,1,7,1,3,7,2,6
