,id,condition,block,trial,stimA,stimB,choice,rt
0,[8328839],0,citrus,0,stimuli/citrus/4.png,stimuli/citrus/1.png,d,0.6563851999962935
0,[8328839],0,citrus,1,stimuli/citrus/1.png,stimuli/citrus/3.png,k,0.4839722999895457
0,[8328839],0,citrus,2,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,0.6159059000056004
0,[8328839],0,dog1,0,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,0.6173930000077235
0,[8328839],0,dog1,1,stimuli/dogs/dog4.png,stimuli/dogs/dog4.png,q,2.3272223999956623
0,[8328839],0,dog1,2,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,d,1.1602260999934515
0,[8328839],0,dog2,0,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,k,0.5788138000061736
0,[8328839],0,dog2,1,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,d,0.511553799995454
0,[8328839],0,dog2,2,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,k,0.2994170000019949
0,[8328839],0,dog3,0,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,d,0.7481310999864945
0,[8328839],0,dog3,1,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,0.5417760999989696
0,[8328839],0,dog3,2,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,0.6316718000016408
