,id,condition,block,trial,stimA,stimB,choice,rt
0,2,0,citrus,0,stimuli/citrus/3.png,stimuli/citrus/1.png,k,0.9164977073669434
0,2,0,citrus,1,stimuli/citrus/4.png,stimuli/citrus/3.png,d,0.43207883834838867
0,2,0,citrus,2,stimuli/citrus/3.png,stimuli/citrus/5.png,k,0.4342951774597168
0,2,0,dog1,0,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,1.0741851329803467
0,2,0,dog1,1,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,k,0.38114142417907715
0,2,0,dog1,2,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,0.3193984031677246
0,2,0,dog2,0,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,timeout,4
0,2,0,dog2,1,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,k,1.0262455940246582
0,2,0,dog2,2,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,timeout,4
0,2,0,dog3,0,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,1.242788314819336
0,2,0,dog3,1,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,k,1.0129334926605225
0,2,0,dog3,2,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,d,0.7133736610412598
,id,condition,block,trial,stimA,stimB,choice,rt
0,1,0,citrus,0,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,d,1.8713533878326416
0,1,0,citrus,1,stimuli/citrus/4.png,stimuli/citrus/5.png,k,0.48929309844970703
0,1,0,citrus,2,stimuli/citrus/4.png,stimuli/citrus/1.png,d,0.2872626781463623
0,1,0,dog1,0,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,0.922313928604126
0,1,0,dog1,1,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,d,0.360245943069458
0,1,0,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,k,0.40147900581359863
0,1,0,dog2,0,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,k,0.7249526977539062
0,1,0,dog2,1,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,k,0.6960086822509766
0,1,0,dog2,2,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,0.387814998626709
0,1,0,dog3,0,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,k,0.6937050819396973
0,1,0,dog3,1,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,d,0.4723386764526367
0,1,0,dog3,2,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,0.5427758693695068
,id,condition,block,trial,stimA,stimB,choice,rt
0,1,0,citrus,0,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,d,0.8605811595916748
0,1,0,citrus,1,stimuli/citrus/3.png,stimuli/citrus/5.png,k,0.488680362701416
0,1,0,citrus,2,stimuli/citrus/5.png,stimuli/citrus/4.png,d,0.36908578872680664
0,1,0,dog1,0,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,d,1.4753670692443848
0,1,0,dog1,1,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,0.36624670028686523
0,1,0,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,0.25837278366088867
0,1,0,dog2,0,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,0.9542772769927979
0,1,0,dog2,1,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,k,0.30692195892333984
0,1,0,dog2,2,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,0.29235291481018066
0,1,0,dog3,0,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,d,0.6287662982940674
0,1,0,dog3,1,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,k,0.30710506439208984
0,1,0,dog3,2,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,0.32552576065063477
,id,condition,block,trial,stimA,stimB,choice,rt
0,1,2,citrus,0,stimuli/citrus/3.png,stimuli/citrus/1.png,d,1.169705867767334
0,1,2,citrus,1,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,1.5495283603668213
0,1,2,citrus,2,stimuli/citrus/5.png,stimuli/citrus/1.png,k,0.6084001064300537
0,1,2,dog1,0,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,d,0.7400472164154053
0,1,2,dog1,1,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,k,0.31778526306152344
0,1,2,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,0.29503440856933594
0,1,2,dog2,0,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,k,0.9776790142059326
0,1,2,dog2,1,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,d,0.33203983306884766
0,1,2,dog2,2,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,0.38213157653808594
0,1,2,dog3,0,stimuli/dogs/dog7.png,stimuli/dogs/dog7.png,q,3.3023080825805664
0,1,2,dog3,1,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,d,2.6289896965026855
