,id,condition,block,trial,stimA,stimB,choice,rt
0,43036,0,citrus,0,stimuli/citrus/1.png,stimuli/citrus/6.png,timeout,4
0,43036,0,citrus,1,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,d,2.4639116999996986
0,43036,0,citrus,2,stimuli/citrus/6.png,stimuli/citrus/4.png,timeout,4
0,43036,0,citrus,3,stimuli/citrus/5.png,stimuli/citrus/6.png,k,2.762482199999795
0,43036,0,citrus,4,stimuli/citrus/3.png,stimuli/citrus/6.png,d,2.4460109999999986
0,43036,0,citrus,5,stimuli/citrus/5.png,stimuli/citrus/4.png,k,2.3682490999999573
0,43036,0,citrus,6,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,d,1.7935282000007646
0,43036,0,citrus,7,stimuli/citrus/3.png,stimuli/citrus/5.png,d,2.0175601999999344
0,43036,0,citrus,8,stimuli/citrus/5.png,stimuli/citrus/1.png,k,1.7961206999998467
0,43036,0,citrus,9,stimuli/citrus/3.png,stimuli/citrus/4.png,d,2.1243079999994734
0,43036,0,citrus,10,stimuli/citrus/6.png,stimuli/citrus/6.png,timeout,4
0,43036,0,citrus,11,stimuli/citrus/3.png,stimuli/citrus/1.png,k,3.4896175000003495
0,43036,0,citrus,12,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,k,2.3306852000005165
0,43036,0,citrus,13,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,1.669329000000289
0,43036,0,citrus,14,stimuli/citrus/3.png,stimuli/citrus/ref_image.jpg,k,1.835724300000038
0,43036,0,citrus,15,stimuli/citrus/4.png,stimuli/citrus/1.png,d,1.4241306000003533
0,43036,0,dog1,0,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,3.8049605000005613
0,43036,0,dog1,1,stimuli/dogs/dog3.png,stimuli/dogs/dog8.png,k,3.0626195999993797
0,43036,0,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,3.3347098000003825
0,43036,0,dog1,3,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,2.2825684999997975
0,43036,0,dog1,4,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,d,3.876661999999669
0,43036,0,dog1,5,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,3.099326100000326
0,43036,0,dog1,6,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,k,1.696251499999562
0,43036,0,dog1,7,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,2.1354043000001184
0,43036,0,dog1,8,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,2.982185099999697
0,43036,0,dog1,9,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,timeout,4
