,id,condition,block,trial,stimA,stimB,choice,rt
0,44149,2,citrus,0,stimuli/citrus/1.png,stimuli/citrus/3.png,d,3.9322846999994
0,44149,2,citrus,1,stimuli/citrus/5.png,stimuli/citrus/1.png,timeout,4
0,44149,2,citrus,2,stimuli/citrus/4.png,stimuli/citrus/5.png,d,1.6991017000000284
0,44149,2,citrus,3,stimuli/citrus/4.png,stimuli/citrus/1.png,d,1.5721057000000656
0,44149,2,citrus,4,stimuli/citrus/6.png,stimuli/citrus/1.png,d,2.001210500000525
0,44149,2,citrus,5,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,k,1.7742535999996107
0,44149,2,citrus,6,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,d,2.001984800000173
0,44149,2,citrus,7,stimuli/citrus/4.png,stimuli/citrus/ref_image.jpg,d,1.609226999999919
0,44149,2,citrus,8,stimuli/citrus/5.png,stimuli/citrus/6.png,d,1.8721376999992572
0,44149,2,citrus,9,stimuli/citrus/3.png,stimuli/citrus/4.png,k,1.8287624999993568
0,44149,2,citrus,10,stimuli/citrus/4.png,stimuli/citrus/6.png,timeout,4
0,44149,2,citrus,11,stimuli/citrus/3.png,stimuli/citrus/ref_image.jpg,k,3.2699444999998377
0,44149,2,citrus,12,stimuli/citrus/6.png,stimuli/citrus/3.png,k,1.6777498999999807
0,44149,2,citrus,13,stimuli/citrus/ref_image.jpg,stimuli/citrus/ref_image.jpg,timeout,4
0,44149,2,citrus,14,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,3.7775116000002527
0,44149,2,citrus,15,stimuli/citrus/3.png,stimuli/citrus/5.png,k,1.535996300000079
0,44149,2,dog1,0,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,3.3284398999994664
0,44149,2,dog1,1,stimuli/dogs/dog1.png,stimuli/dogs/dog7.png,timeout,4
0,44149,2,dog1,2,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,2.6437550999999075
0,44149,2,dog1,3,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,1.3787961999996696
0,44149,2,dog1,4,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,k,2.89051549999931
0,44149,2,dog1,5,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,k,2.159040200000163
0,44149,2,dog1,6,stimuli/dogs/dog4.png,stimuli/dogs/dog4.png,q,3.6557895000005374
0,44149,2,dog1,7,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,3.7802171000003
0,44149,2,dog1,8,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,1.9761887999993633
0,44149,2,dog1,9,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,2.021541199999774
0,44149,2,dog1,10,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,d,2.0017734000002747
0,44149,2,dog1,11,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,2.4847719999997935
0,44149,2,dog1,12,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,1.9447148999997808
0,44149,2,dog1,13,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,2.2784004000004643
0,44149,2,dog1,14,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,1.6808396999995239
0,44149,2,dog1,15,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,1.2129493000002185
0,44149,2,dog1,16,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,2.277260899999419
0,44149,2,dog1,17,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,d,2.236240999999609
0,44149,2,dog1,18,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,1.6231519000002663
0,44149,2,dog1,19,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,1.8162619999993694
0,44149,2,dog1,20,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,1.9055404999999155
0,44149,2,dog1,21,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,k,2.2907416999996713
0,44149,2,dog1,22,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,k,2.6553734999997687
0,44149,2,dog1,23,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,d,2.5954209999999875
0,44149,2,dog1,24,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,k,2.775574699999197
0,44149,2,dog1,25,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.5632881000001362
0,44149,2,dog1,26,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,1.7024713999999221
0,44149,2,dog1,27,stimuli/dogs/dog6.png,stimuli/dogs/dog4.png,d,1.8437874000001102
0,44149,2,dog1,28,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,k,1.6418262000006507
0,44149,2,dog2,0,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,d,2.920299800000066
0,44149,2,dog2,1,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,d,2.373197299999447
0,44149,2,dog2,2,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,k,2.076995899999929
